asin,Manufacturer,description,price,reviewsCount,stars,title,url
B08FTH4GKR,Amazon Brand - Solimo,"Solimo 5-piece Tote Diaper Bag is a must-have companion for every new parent. The diaper bag is manufactured using 100% polyester fabric, which ensures sturdiness and durability. The green shade amps up the overall look of the diaper bag, giving it a playful appeal. It consists of a zipper closure which offers easy access to the items in the bag and provides secure storage. The set comes with 5-pieces which includes a small and big diaper bag, a bottle bag, changing pad and a bottom board. Being devoid of any harmful chemicals such as azo dye and formaldehyde makes the bag safe to use around kids and to store the daily essentials. The diaper bag is crafted using quality materials and has fine stitching for its longevity. To ensure optimum safety, the diaper bag is tested in a NABL accredited lab against 72 parameters for quality, performance and safety. With an ample storage capacity, the bag is useful for storing baby essentials such as diapers, tissues, change of clothes, toys, towels, baby powder, milk bottle and more. Spacious but compact enough, the Solimo 5-piece Tote Diaper Bag can conveniently fit into the plane’s overhead bag section or even at the bottom of the front seat. The diaper bag makes a suitable choice for carrying baby necessities during travel, in the house, during any festival or family gathering without any hassle. The tote-style padded shoulder straps offer comfort and ease of carrying the bag everywhere. Worry less about the bag getting ruined, as the water-resistant fabric protects the bag from accidental spills. Both mother and father can use the bag, and it requires minimum efforts for cleaning. The diaper bag comes with a one-year limited warranty against manufacturing defects for quality assurance and customer satisfaction.",1079,51,4.2,"Amazon Brand - Solimo 5-Piece Tote Diaper Bag, Green",https://www.amazon.in/dp/B08FTH4GKR
B09X643Z2W,Dyazo,,339,129,4.5,Dyazo 13.3 inch Laptop Bag Sleeve Sleeve Bag Cover for 13 inch Apple Mac Book Air Pro Retina 13 13.3 inch MacBook 13.3 inch and All Other laptops & Notebooks with Front Packet and Handle (Grey),https://www.amazon.in/dp/B09X643Z2W
B0713ZQ4DQ,AmazonBasics,"AmazonBasics Hardside Suitcase Set with Wheels, 20"" (50.8 cm) +24"" (61 cm) +28""(71 cm), Black",4611,1263,4.2,AmazonBasics Set of 3 (55 cm + 68 Cm + 78 Cm) Black Hardsided Trolley,https://www.amazon.in/dp/B0713ZQ4DQ
B07CJCGM1M,American Tourister,,1099,42643,4.1,American Tourister Casual Backpack,https://www.amazon.in/dp/B07CJCGM1M
B085MHDJ93,Half Moon,,729,11189,3.9,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),https://www.amazon.in/dp/B085MHDJ93
B08BJV6J9Y,The Clownfish,.This laptop travel bag ensures that your travel becomes an exciting experience. This four-wheel laptop trolley case is made with perfection to suit your needs while travelling. It is ideal for overnight business travel. It has a spacious compartment to keep all your travel items without any hassles. It is provided with a soft cushioned sleeve to support and protect your laptop up to 15.6 inches in size. This cabin bag trolley easily fits into the cabin of an airplane. This luxury business laptop trolley bag is also provided with four rotating wheels which are smooth in mobility. This laptop bag trolley for men and women is also provided with a safety lock to keep your valuables safe.,6999,58,4.6,The Clownfish Luxury Unisex Faux Leather 8 Wheel Travel Luggage Suitcase and Laptop Roller Case (Black),https://www.amazon.in/dp/B08BJV6J9Y
B08MW6L2W8,The Clownfish,"Make your travels a living experience with The Clownfish Jaunt. This combo of Laptop Roller case and a Toiletry kit is ideal for overnight business travel. The Roller case has a spacious overnight compartment to keep all your travel items This rolling laptop case is provided with a cushioned sleeve to support laptops up to 15.6 inches in size. Provided with 2 pairs of rotating wheels for smooth mobility. Safety lock to provide security to your items while travelling on an overnight business trip. Comes with a Travel Toiletry Organizer to carry your personal hygienic products and accessories in an organised manner. Comes with one compartment including a mesh for support to ensure proper storage of all essentials like shaving items for men as well as makeup accessories for women. It is spacious enough to hold toiletry items like toothpaste, toothbrush, facewash, scrub and other hygiene products. Sturdy hanging hook for space saving and fast access. Ideal for long travels and tours.",3799,293,4.2,The Clownfish Polyester 15.35 inches Soft Laptop Roller Case With Toiletry Kit (TCFCO44LJBL_Black),https://www.amazon.in/dp/B08MW6L2W8
B07YDGQQN5,FUR JADEN,,799,5628,4.2,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/dp/B07YDGQQN5
B0943MWVCZ,Rassasier,,5999,,,Rassasier Laptop Bags,https://www.amazon.in/dp/B0943MWVCZ
B0B1HXG9KL,GOLD SKY,"GOLD SKY This quality casual day pack comes without any bells and whistles. The clean silhouette is fashionable and modern while still having a heritage feel. There’s nothing complicated on this bag, just a 2 spacious main chamber for books and binders plus a laptop compartment . Back small zipper pocket for tiny things . The product is made from polyester on the inside and outside It features : Lite in weight backpack with spacious compartments, soft shell, zipper closure, shoulder strap and is targeted towards both the genders.This large 25-30 litres backpack from the house of GOLD SKY provides separate spaces for a laptop and related accessories. With two spacious compartments, you can easily pack all your travel essentials in this one bag. You also have the option of external bottle holders for quick and easy access. It is lightweight and comfortable to carry. This trendy polyester backpack is dust-proof and water-resistant in nature which ensures that your belongings are safe even on a rainy day.",799,1,5,GOLD SKY Polyester Casual 35L Laptop Travel Shoulder Office Daytrip College Backpack for Men & Women with Rain Cover,https://www.amazon.in/dp/B0B1HXG9KL
B08X2KRL8B,POLESTAR,,639,2903,4.1,"POLESTAR Leader 34 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment and rain cover, made with polyester, 1 year warranty",https://www.amazon.in/dp/B08X2KRL8B
B09VCHV6T5,TRUE HUMAN,,675,238,3.8,"TRUE HUMAN Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag , college bag",https://www.amazon.in/dp/B09VCHV6T5
B082PKX18C,Artistix,"Business Casual Charging Pack. USB CHARGING, GUARD AGAINST THEFT, WATER REPELLENT FABRIC. For Business travel. Structure: Laptop / Ipad Pocket / Phone / Document / Camera / Zipper Pockets.... Capacity: 15.6 Inches Laptop / I pad / Clothes / water bottle/ Umbrella / Cosmetic.",939,1610,4.3,Artistix Talon Anti-Theft Design Laptop Backpack Bag in Water Resistance With USB Charging Port (46 Cm) (Black),https://www.amazon.in/dp/B082PKX18C
B0844R2GMK,POLESTAR,"POLESTAR SPACE : A Spacious and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 47 cm X 30 cm X 23 cm: SPACE is made of high grade water resistant polyester material that gives it strength and durable for long-term use. Is carries 12 months warranty. This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 vertical highlighted long zip pocket at front, 2 water bottle /umbrella pockets, Top padded Handle for comfort.",549,4869,4,"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",https://www.amazon.in/dp/B0844R2GMK
B09VCLZ3K4,Half Moon,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",999,507,3.9,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/dp/B09VCLZ3K4
B08CMQD4BC,INOVERA (LABEL),"# Description #  Classic Hobo Purse: Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business Updated Women Handbags: High-quality PU leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock & wear-resistant tests, good purses and handbags for women Structure: Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc Medium Purses for Women: 32L x 13B x 30H cm. Short handle height: 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women's shoulder bag or hobo crossbody bag",1399,4814,4.2,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",https://www.amazon.in/dp/B08CMQD4BC
B07J46KLFP,FUR JADEN,,449,8649,3.9,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",https://www.amazon.in/dp/B07J46KLFP
